id;acctdat_id;acct_id;acct_active_status;acct_curr_bal;acct_credit_limit;acct_cash_credit_limit;acct_open_date;acct_expiraion_date;acct_reissue_date;acct_curr_cyc_credit;acct_curr_cyc_debit;acct_addr_zip;acct_group_id;filler
1;46295;8;d;9;11;4;Leone turn;Soft Cotto;Mobility C;11;12;Shoes purp;IB;Ergonomic orange Accounts
2;61191;2;P;10;6;3;Home copy;quantifyin;synthesizi;4;5;Loan dynam;Ergonomic ;quantifying
3;66902;3;I;0;12;2;magnetic;Bedfordshi;deliverabl;4;12;Rustic app;Quality-fo;mobile Executive Officer
4;44962;4;P;3;9;6;Practical;Re-enginee;open-sourc;6;0;AI reboot ;Consultant;distributed Rustic
5;11036;11;W;5;3;10;FTP;exuding tr;Steel Buck;11;0;Tools Row ;Baby Haven;Sudanese microchip reboot
6;25400;11;G;0;3;7;Dollar Toy;Universal ;Prairie Ha;12;9;benchmark ;Guyana e-b;deposit parse
7;36728;10;g;4;0;10;architectu;Ohio;Books Texa;6;6;Rubber;Cambodia;methodologies
8;22630;7;B;7;0;0;internet Q;even-keele;Product ca;2;7;Lek;Fresh;syndicate
9;76320;5;B;1;3;7;Mobility m;mobile;Brand Caro;1;5;Tasty Bedf;Balanced;Sleek Maryland enterprise
10;24179;4;r;8;1;6;extensible;SSL salmon;Gorgeous G;11;3;bypassing;encryption;Officer Grocery
